AnnoA;Area_Disc;GruppoCOD;Nome Gruppo Disciplinare;SESSO;Imm
2004/2005;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3191
2004/2005;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;5471
2004/2005;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;17119
2004/2005;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;18220
2004/2005;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4440
2004/2005;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;822
2004/2005;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;15281
2004/2005;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1576
2004/2005;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5759
2004/2005;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;15451
2004/2005;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5189
2004/2005;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;7913
2004/2005;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;11128
2004/2005;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23824
2004/2005;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4787
2004/2005;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;15428
2004/2005;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3105
2003/2004;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;15647
2003/2004;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;16384
2003/2004;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3220
2003/2004;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8614
2003/2004;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;17016
2003/2004;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4330
2003/2004;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;16464
2003/2004;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;25711
2003/2004;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1834
2003/2004;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6328
2003/2004;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1025
2003/2004;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;12054
2003/2004;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;21834
2003/2004;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3468
2003/2004;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;15569
2003/2004;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;5897
2003/2004;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4619
2003/2004;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;19282
2003/2004;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;28116
2003/2004;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;12023
2003/2004;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5367
2003/2004;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2227
2003/2004;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;11368
2003/2004;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;8119
2003/2004;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;24048
2003/2004;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;8240
2003/2004;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;21843
2003/2004;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1971
2003/2004;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;12425
2003/2004;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2993
2002/2003;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4551
2002/2003;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1935
2002/2003;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4458
2002/2003;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;16139
2002/2003;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;24797
2002/2003;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;22023
2002/2003;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;14444
2002/2003;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;3156
2002/2003;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;11969
2002/2003;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;25988
2002/2003;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;15997
2002/2003;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;20454
2002/2003;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2249
2002/2003;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6713
2002/2003;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5211
2002/2003;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;6121
2002/2003;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;21522
2002/2003;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;10924
2002/2003;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;7441
2002/2003;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;15500
2002/2003;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;25720
2002/2003;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;11236
2002/2003;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14646
2002/2003;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;11537
2002/2003;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1138
2002/2003;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8534
2002/2003;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3537
2002/2003;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1760
2002/2003;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2969
2002/2003;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;8133
2001/2002;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4095
2001/2002;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;13605
2001/2002;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;14966
2001/2002;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2962
2001/2002;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;11328
2001/2002;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6845
2001/2002;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;4878
2001/2002;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;5789
2001/2002;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;11568
2001/2002;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2711
2001/2002;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6497
2001/2002;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;25461
2001/2002;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;22168
2001/2002;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;9259
2001/2002;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12221
2001/2002;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1703
2001/2002;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;19963
2001/2002;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3357
2001/2002;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;8595
2001/2002;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;16560
2001/2002;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;9619
2001/2002;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1564
2001/2002;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;23436
2001/2002;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;10387
2001/2002;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;15917
2001/2002;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1718
2001/2002;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2833
2001/2002;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5039
2001/2002;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;22287
2001/2002;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;21933
2000/2001;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8614
2000/2001;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;M;1725
2000/2001;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;2379
2000/2001;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;M;21829
2000/2001;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;5477
2000/2001;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12323
2000/2001;STEM;9;Scientifico                                                                                                                                                                                                                                               ;F;10830
2000/2001;Economica, Giuridica e Sociale;7;Economico                                                                                                                                                                                                                                                 ;F;19244
2000/2001;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;6466
2000/2001;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;1850
2000/2001;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6053
2000/2001;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;23179
2000/2001;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;13773
2000/2001;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;15715
2000/2001;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;5047
2000/2001;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;19721
2000/2001;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;14849
2000/2001;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3800
2000/2001;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;8705
2000/2001;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;16491
2000/2001;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2257
2000/2001;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3582
2000/2001;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;9318
2000/2001;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2590
2000/2001;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;M;3034
2000/2001;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;3928
2000/2001;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;F;20304
2000/2001;Artistica, Letteraria ed Educazione;3;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;10389
2000/2001;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;1249
2000/2001;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;F;9421
1999/2000;STEM;12;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;3571
1999/2000;Sanitaria e Agro-Veterinaria;15;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;2593
1999/2000;Sanitaria e Agro-Veterinaria;13;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;3623
1999/2000;Artistica, Letteraria ed Educazione;1;Educazione e Formazione                                                                                                                                                                                                                                   ;F;13874
1999/2000;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;9574
1999/2000;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;15861
1999/2000;Economica, Giuridica e Sociale;5;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;12221
1999/2000;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;M;3329
1999/2000;STEM;9;Scientifico                                                                                                                                                                                                                                               ;M;8746
1999/2000;Economica, Giuridica e Sociale;8;Giuridico                                                                                                                                                                                                                                                 ;M;17071
1999/2000;Economica, Giuridica e Sociale;6;Psicologico                                                                                                                                                                                                                                               ;M;2429
1999/2000;Artistica, Letteraria ed Educazione;4;Linguistico                                                                                                                                                                                                                                               ;F;13487
1999/2000;STEM;10;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;777
1999/2000;Artistica, Letteraria ed Educazione;2;Arte e Design                                                                                                                                                                                                                                             ;F;6146
1999/2000;Sanitaria e Agro-Veterinaria;14;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;18133
1999/2000;STEM;11;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;6028
