Ripartizione_geografica;Ordinatore;Significatività_18vs19;Significatività_19vs21;Significatività_21vs22;Significatività_19vs22;Significatività_22vs23;Significatività_23vs24;Significatività_24vs25;Grado;Materia;Anno_new;VALORI;LIVELLO_SUFF
Friuli-Venezia Giulia;10,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;94,14;Raggiungono il traguardo
Molise;19,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;94,16;Raggiungono il traguardo
Abruzzo;18,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;94,20;Raggiungono il traguardo
Lombardia;5,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;94,25;Raggiungono il traguardo
Marche;15,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;94,27;Raggiungono il traguardo
Basilicata;23,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;94,39;Raggiungono il traguardo
Valle d'Aosta;2,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;94,49;Raggiungono il traguardo
Prov. Aut. Trento;8,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;94,58;Raggiungono il traguardo
Piemonte;3,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;94,66;Raggiungono il traguardo
Puglia;21,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;94,66;Raggiungono il traguardo
Umbria;14,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;94,69;Raggiungono il traguardo
Marche;15,00;;;;;;;Not Statistically significant;Grado 5;Inglese Reading;2024-2025;94,81;Raggiungono il traguardo
Emilia-Romagna;11,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;94,90;Raggiungono il traguardo
Toscana;13,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;94,91;Raggiungono il traguardo
Lazio;16,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;94,94;Raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;94,95;Raggiungono il traguardo
Marche;15,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;95,00;Raggiungono il traguardo
Lazio;16,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,01;Raggiungono il traguardo
Basilicata;23,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,04;Raggiungono il traguardo
Molise;19,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,06;Raggiungono il traguardo
Umbria;14,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;95,07;Raggiungono il traguardo
Liguria;4,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;95,09;Raggiungono il traguardo
Lombardia;5,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,12;Raggiungono il traguardo
Piemonte;3,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;95,19;Raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;95,25;Raggiungono il traguardo
Puglia;21,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;95,31;Raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;95,34;Raggiungono il traguardo
Liguria;4,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,36;Raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;95,42;Raggiungono il traguardo
Emilia-Romagna;11,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;95,67;Raggiungono il traguardo
Lombardia;5,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;95,70;Raggiungono il traguardo
Prov. Aut. Trento;8,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,87;Raggiungono il traguardo
Friuli-Venezia Giulia;10,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,88;Raggiungono il traguardo
Marche;15,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;95,95;Raggiungono il traguardo
Marche;15,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;96,06;Raggiungono il traguardo
Veneto;9,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;96,20;Raggiungono il traguardo
Abruzzo;18,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;96,21;Raggiungono il traguardo
Umbria;14,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;96,21;Raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;96,43;Raggiungono il traguardo
Molise;19,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Reading;2023-2024;96,49;Raggiungono il traguardo
Umbria;14,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;96,53;Raggiungono il traguardo
Valle d'Aosta;2,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;97,15;Raggiungono il traguardo
Prov. Aut. Bolzano (l. it.);7,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;97,55;Raggiungono il traguardo
Veneto;9,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;97,56;Raggiungono il traguardo
Valle d'Aosta;2,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;97,76;Raggiungono il traguardo
Prov. Aut. Trento;8,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;97,83;Raggiungono il traguardo
Nord Est;6,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;3,76;NON raggiungono il traguardo
Nord Est;6,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,11;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,47;NON raggiungono il traguardo
Centro;12,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;4,83;NON raggiungono il traguardo
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;4,97;NON raggiungono il traguardo
Centro;12,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;5,31;NON raggiungono il traguardo
Sud;17,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;5,61;NON raggiungono il traguardo
Nord Ovest;1,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;6,24;NON raggiungono il traguardo
Centro;12,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;7,12;NON raggiungono il traguardo
Nord Est;6,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;7,25;NON raggiungono il traguardo
Centro;12,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;7,31;NON raggiungono il traguardo
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;7,56;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;7,66;NON raggiungono il traguardo
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Reading;2023-2024;8,62;NON raggiungono il traguardo
Nord Est;6,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;8,86;NON raggiungono il traguardo
Nord Est;6,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;8,87;NON raggiungono il traguardo
Nord Ovest;1,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;9,19;NON raggiungono il traguardo
Nord Est;6,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;9,90;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;9,98;NON raggiungono il traguardo
Centro;12,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;10,06;NON raggiungono il traguardo
Nord Est;6,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;10,08;NON raggiungono il traguardo
Centro;12,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;10,26;NON raggiungono il traguardo
Sud e Isole;22,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Inglese Reading;2021-2022;10,44;NON raggiungono il traguardo
Nord Est;6,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;10,70;NON raggiungono il traguardo
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;10,82;NON raggiungono il traguardo
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;10,84;NON raggiungono il traguardo
Sud;17,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;10,91;NON raggiungono il traguardo
Sud e Isole;22,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Inglese Reading;2020-2021;11,06;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;11,35;NON raggiungono il traguardo
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;11,42;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;11,66;NON raggiungono il traguardo
Centro;12,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;12,08;NON raggiungono il traguardo
Centro;12,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;12,08;NON raggiungono il traguardo
Nord Est;6,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;12,25;NON raggiungono il traguardo
Centro;12,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;12,36;NON raggiungono il traguardo
Nord Ovest;1,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;12,52;NON raggiungono il traguardo
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;13,05;NON raggiungono il traguardo
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Inglese Reading;2024-2025;13,07;NON raggiungono il traguardo
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;13,20;NON raggiungono il traguardo
Nord Est;6,00;Statistically significant;Not Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;13,35;NON raggiungono il traguardo
Nord Est;6,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;13,50;NON raggiungono il traguardo
Sud;17,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;13,60;NON raggiungono il traguardo
Nord Ovest;1,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;14,07;Non sufficienza
Centro;12,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;14,86;NON raggiungono il traguardo
Nord Ovest;1,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;15,00;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;15,40;NON raggiungono il traguardo
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Inglese Listening;2023-2024;15,71;NON raggiungono il traguardo
Centro;12,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;15,80;Non sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 5;Inglese Listening;2024-2025;16,08;NON raggiungono il traguardo
Centro;12,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;16,73;Non sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;16,88;NON raggiungono il traguardo
Nord Est;6,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;16,95;Non sufficienza
Centro;12,00;;;Not Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;17,05;Non sufficienza
Sud e Isole;22,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Reading;2018-2019;17,25;NON raggiungono il traguardo
Nord Est;6,00;;Statistically significant;Not Statistically significant;;;;;Grado 5;Italiano;2020-2021;17,38;Non sufficienza
Nord Ovest;1,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;18,07;Non sufficienza
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;18,19;Non sufficienza
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;18,33;Non sufficienza
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;19,18;Non sufficienza
Sud e Isole;22,00;;Statistically significant;Statistically significant;;;;;Grado 5;Italiano;2020-2021;19,46;Non sufficienza
Centro;12,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;19,60;Non sufficienza
Sud;17,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;19,71;NON raggiungono il traguardo
Sud e Isole;22,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;19,81;Non sufficienza
Nord Est;6,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;20,45;Non sufficienza
Nord Est;6,00;;Statistically significant;Statistically significant;;;;;Grado 2;Italiano;2020-2021;20,61;Non sufficienza
Nord Ovest;1,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;20,86;Non sufficienza
Sud;17,00;;;Statistically significant;;Not Statistically significant;;;Grado 5;Inglese Listening;2021-2022;21,19;NON raggiungono il traguardo
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Reading;2022-2023;21,41;NON raggiungono il traguardo
Nord Ovest;1,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;21,54;Non sufficienza
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;21,63;Non sufficienza
Nord Est;6,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;21,85;Non sufficienza
Centro;12,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;22,38;Non sufficienza
Centro;12,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;22,38;Non sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Inglese Listening;2024-2025;22,43;NON raggiungono il traguardo
Centro;12,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;22,53;Non sufficienza
Sud;17,00;;;;;Not Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;22,54;NON raggiungono il traguardo
Sud e Isole;22,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;22,59;NON raggiungono il traguardo
Nord Ovest;1,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;22,90;Non sufficienza
Centro;12,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;23,03;Non sufficienza
Nord Ovest;1,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;23,71;Non sufficienza
Centro;12,00;;Not Statistically significant;Not Statistically significant;;;;;Grado 2;Matematica;2020-2021;23,84;Non sufficienza
Sud;17,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;23,92;Non sufficienza
Nord Ovest;1,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;24,00;Non sufficienza
Centro;12,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;24,06;Non sufficienza
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 5;Inglese Listening;2020-2021;24,37;NON raggiungono il traguardo
Centro;12,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;24,70;Non sufficienza
Centro;12,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;24,72;Non sufficienza
Centro;12,00;;;Not Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;24,80;Non sufficienza
Nord Ovest;1,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;24,81;Non sufficienza
Nord Est;6,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;24,95;Non sufficienza
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;25,06;Non sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;25,18;Non sufficienza
Nord Ovest;1,00;;;;Statistically significant;;;;Grado 10;Matematica;2018-2019;25,34;Non sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Italiano;2023-2024;25,43;Non sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 5;Italiano;2024-2025;25,45;Non sufficienza
Sud e Isole;22,00;Statistically significant;Statistically significant;;;;;;Grado 5;Inglese Listening;2018-2019;25,66;NON raggiungono il traguardo
Sud;17,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;25,74;Non sufficienza
Nord Ovest;1,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;25,88;Non sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;26,00;Non sufficienza
Sud e Isole;22,00;;;;;;Statistically significant;Statistically significant;Grado 5;Inglese Listening;2023-2024;26,02;NON raggiungono il traguardo
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;26,11;Non sufficienza
Centro;12,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;26,19;Non sufficienza
Nord Ovest;1,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;26,32;Non sufficienza
Nord Est;6,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;26,36;Non sufficienza
Nord Est;6,00;;Not Statistically significant;;;;;;Grado 5;Matematica;2018-2019;26,38;Non sufficienza
Nord Est;6,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;26,47;Non sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 5;Inglese Listening;2021-2022;26,52;NON raggiungono il traguardo
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 5;Italiano;2021-2022;26,68;Non sufficienza
Nord Est;6,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;26,86;Non sufficienza
Nord Est;6,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;26,92;Non sufficienza
Nord Ovest;1,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;27,03;Non sufficienza
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;27,13;Non sufficienza
Nord Est;6,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;27,16;Non sufficienza
Nord Ovest;1,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;27,50;Non sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;27,69;Non sufficienza
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;27,73;Non sufficienza
Nord Est;6,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;27,91;Non sufficienza
Centro;12,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;27,99;Non sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;28,02;Non sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;28,28;Non sufficienza
Centro;12,00;;;;Statistically significant;;;;Grado 10;Italiano;2018-2019;28,47;Non sufficienza
Nord Est;6,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;28,50;Non sufficienza
Nord Est;6,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;28,91;Non sufficienza
Sud e Isole;22,00;;Not Statistically significant;Statistically significant;;;;;Grado 2;Matematica;2020-2021;28,96;Non sufficienza
Centro;12,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;29,15;Non sufficienza
Sud e Isole;22,00;;Statistically significant;;;;;;Grado 2;Italiano;2018-2019;29,20;Non sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;29,31;Non sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 10;Italiano;2023-2024;29,47;Non sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;29,53;Non sufficienza
Centro;12,00;;;;;;Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;29,57;Non sufficienza
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;29,77;Non sufficienza
Sud;17,00;;;Statistically significant;;Statistically significant;;;Grado 2;Matematica;2021-2022;29,87;Non sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 10;Italiano;2022-2023;29,99;Non sufficienza
Sud;17,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;30,03;Non sufficienza
Centro;12,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;30,04;Non sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 10;Italiano;2024-2025;30,05;Non sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 2;Matematica;2018-2019;30,18;Non sufficienza
Sud;17,00;;Statistically significant;;;;;;Grado 5;Matematica;2018-2019;30,27;Non sufficienza
Centro;12,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;30,34;Non sufficienza
Nord Ovest;1,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;30,44;Non sufficienza
Sud;17,00;;Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;30,46;Non sufficienza
Sud e Isole;22,00;;Not Statistically significant;;;;;;Grado 2;Matematica;2018-2019;30,53;Non sufficienza
Sud e Isole;22,00;;;;;;Not Statistically significant;Statistically significant;Grado 5;Italiano;2023-2024;30,53;Non sufficienza
Sud;17,00;;;;;;Statistically significant;Statistically significant;Grado 5;Matematica;2023-2024;30,54;Non sufficienza
Sud e Isole;22,00;;;;;;;Statistically significant;Grado 5;Italiano;2024-2025;30,91;Non sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;30,93;Non sufficienza
Sud;17,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Italiano;2023-2024;31,14;Non sufficienza
Centro;12,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;31,35;Non sufficienza
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;31,36;Non sufficienza
Sud e Isole;22,00;;;;;Statistically significant;Statistically significant;;Grado 5;Inglese Listening;2022-2023;31,39;NON raggiungono il traguardo
Sud e Isole;22,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Italiano;2022-2023;31,49;Non sufficienza
Nord Ovest;1,00;;;Statistically significant;;Statistically significant;;;Grado 5;Matematica;2021-2022;31,65;Non sufficienza
Nord Est;6,00;;;;;Statistically significant;Statistically significant;;Grado 2;Italiano;2022-2023;31,65;Non sufficienza
Nord Ovest;1,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Italiano;2023-2024;31,74;Non sufficienza
Sud e Isole;22,00;;;Statistically significant;;Statistically significant;;;Grado 2;Italiano;2021-2022;31,85;Non sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Not Statistically significant;;Grado 2;Italiano;2022-2023;32,00;Non sufficienza
Sud;17,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;32,24;Non sufficienza
Nord Ovest;1,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;32,44;Non sufficienza
Sud e Isole;22,00;;Statistically significant;;;;;;Grado 5;Italiano;2018-2019;32,58;Non sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;32,58;Non sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 5;Matematica;2023-2024;32,60;Non sufficienza
Nord Est;6,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;32,65;Non sufficienza
Nord Ovest;1,00;;;;;;Not Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;32,70;Non sufficienza
Sud;17,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;32,72;Non sufficienza
Nord Est;6,00;;;;;Not Statistically significant;Not Statistically significant;;Grado 10;Matematica;2022-2023;32,83;Non sufficienza
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 5;Matematica;2024-2025;32,86;Non sufficienza
Nord Ovest;1,00;;;;;;Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;32,97;Non sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Not Statistically significant;Grado 2;Matematica;2023-2024;33,00;Non sufficienza
Nord Ovest;1,00;;;;Statistically significant;Not Statistically significant;;;Grado 10;Matematica;2021-2022;33,13;Non sufficienza
Nord Est;6,00;;;;;;;Not Statistically significant;Grado 10;Italiano;2024-2025;33,49;Non sufficienza
Nord Ovest;1,00;;;;;;;Not Statistically significant;Grado 2;Matematica;2024-2025;33,50;Non sufficienza
Nord Est;6,00;;;;;;Not Statistically significant;Statistically significant;Grado 10;Matematica;2023-2024;33,61;Non sufficienza
Centro;12,00;;;;;Statistically significant;Statistically significant;;Grado 5;Matematica;2022-2023;33,89;Non sufficienza
Nord Est;6,00;;;;;;Statistically significant;Statistically significant;Grado 2;Italiano;2023-2024;34,02;Non sufficienza
Nord Est;6,00;;;;;Statistically significant;Not Statistically significant;;Grado 5;Matematica;2022-2023;34,05;Non sufficienza
Sud;17,00;;;;;;;Statistically significant;Grado 5;Matematica;2024-2025;34,15;Non sufficienza
Nord Ovest;1,00;;;;;Statistically significant;Statistically significant;;Grado 2;Matematica;2022-2023;34,15;Non sufficienza
Centro;12,00;;;;Statistically significant;Statistically significant;;;Grado 10;Italiano;2021-2022;34,19;Non sufficienza
Sud e Isole;22,00;;;;;;;Not Statistically significant;Grado 2;Italiano;2024-2025;34,35;Non sufficienza
Sud e Isole;22,00;;Not Statistically significant;Statistically significant;;;;;Grado 5;Matematica;2020-2021;34,48;Non sufficienza
